["port lower 1","LEFT"]
["port lower 2","RIGHT"]
["port upper 1","LEFT"]
["port upper 2","RIGHT"]
("port upper 1","mode 1",1,"port upper 1",1,"transmission")
(21, 3)
1.8737028624999997e+14 3.0560557122389219e-02 -3.0477265677740690e+00
1.8799485387083331e+14 1.7713345678537162e-02 -3.0726219291389567e+00
1.8861942149166662e+14 2.3228570510802789e-02 -3.3132210347346298e+00
1.8924398911249997e+14 1.4262954079560880e-02 -3.2586900688626201e+00
1.8986855673333331e+14 2.6428594253282062e-02 -3.7087623778869134e+00
1.9049312435416662e+14 2.7398795360484233e-02 -3.0643501836303484e+00
1.9111769197499997e+14 1.5000444638029341e-02 -3.1126446533648724e+00
1.9174225959583331e+14 1.6567418795271335e-02 -3.0914318145006683e+00
1.9236682721666666e+14 7.7062303850192158e-03 -3.1264920052257406e+00
1.9299139483749997e+14 1.1908327022462788e-02 -3.8014412345176667e+00
1.9361596245833331e+14 1.2835821033458608e-02 -3.4266867836298815e+00
1.9424053007916666e+14 5.9738112356652745e-03 -3.4746690321890012e+00
1.9486509769999997e+14 9.3786804227052288e-03 -4.2306819204312518e+00
1.9548966532083331e+14 9.7617068906106028e-03 -3.9846263435972591e+00
1.9611423294166666e+14 9.5774382137150359e-03 -4.1781410635549001e+00
1.9673880056250000e+14 7.9767473448263820e-03 -3.9663907479033877e+00
1.9736336818333331e+14 5.9139221254596750e-03 -4.8225128611299919e+00
1.9798793580416666e+14 1.0429734804387693e-02 -4.9028237039866722e+00
1.9861250342500000e+14 1.1684146394485180e-02 -4.8214942871326452e+00
1.9923707104583331e+14 1.1505813250098893e-02 -5.0097333576212719e+00
1.9986163866666666e+14 1.7466907833372607e-02 -5.0375388172187723e+00
("port upper 1","mode 1",1,"port upper 2",1,"transmission")
(21, 3)
1.8737028624999997e+14 8.7555320951660698e-01 2.5607825332382905e+00
1.8799485387083331e+14 8.9009567772669107e-01 4.2840264337132874e+00
1.8861942149166662e+14 9.0350683080857319e-01 6.0233069787184670e+00
1.8924398911249997e+14 9.1614759058201778e-01 7.7783057389179406e+00
1.8986855673333331e+14 9.2739972946842075e-01 9.5493281350585448e+00
1.9049312435416662e+14 9.3743844369100970e-01 1.1335532611121923e+01
1.9111769197499997e+14 9.4643515932552091e-01 1.3137663162426396e+01
1.9174225959583331e+14 9.5384172535115508e-01 1.4955340994757867e+01
1.9236682721666666e+14 9.6003617616142933e-01 1.6788553254409123e+01
1.9299139483749997e+14 9.6469169171314118e-01 1.8637253279865632e+01
1.9361596245833331e+14 9.6798999424336063e-01 2.0501020933623529e+01
1.9424053007916666e+14 9.6998109907937646e-01 2.2379829175740202e+01
1.9486509769999997e+14 9.7047855956985452e-01 2.4273474224959877e+01
1.9548966532083331e+14 9.6942144331406799e-01 2.6181612355257382e+01
1.9611423294166666e+14 9.6683219200253434e-01 2.8104180636257581e+01
1.9673880056250000e+14 9.6253811226525088e-01 3.0041025685428895e+01
1.9736336818333331e+14 9.5658997426052861e-01 3.1992025882952699e+01
1.9798793580416666e+14 9.4888690216786098e-01 3.3957061407671475e+01
1.9861250342500000e+14 9.3953726445117103e-01 3.5935890361788253e+01
1.9923707104583331e+14 9.2859967653068420e-01 3.7928373515577952e+01
1.9986163866666666e+14 9.1617525618709283e-01 3.9934296493285480e+01
("port upper 1","mode 1",1,"port lower 2",1,"transmission")
(21, 3)
1.8737028624999997e+14 2.9874094431798398e-01 5.3223929514419999e-01
1.8799485387083331e+14 2.7527485329933221e-01 1.9853436944397569e+00
1.8861942149166662e+14 2.5043687603946674e-01 3.4518758841621087e+00
1.8924398911249997e+14 2.2427303058478962e-01 4.9317296536254389e+00
1.8986855673333331e+14 1.9683743188907329e-01 6.4248423278223452e+00
1.9049312435416662e+14 1.6819323056989527e-01 7.9310076565791885e+00
1.9111769197499997e+14 1.3840961145965042e-01 9.4498324275158794e+00
1.9174225959583331e+14 1.0753157289394592e-01 1.0980610507897184e+01
1.9236682721666666e+14 7.5592496494477621e-02 1.2521832361739081e+01
1.9299139483749997e+14 4.2642857340671365e-02 1.4068645423646238e+01
1.9361596245833331e+14 8.8137441012048658e-03 1.5545477938541534e+01
1.9424053007916666e+14 2.5900391762510955e-02 1.4141251257314442e+01
1.9486509769999997e+14 6.1072884824437380e-02 1.5712415320722133e+01
1.9548966532083331e+14 9.6606570519789242e-02 1.7313150372193959e+01
1.9611423294166666e+14 1.3236027598987057e-01 1.8930223135044898e+01
1.9673880056250000e+14 1.6827419880365949e-01 2.0561271894280285e+01
1.9736336818333331e+14 2.0430369726839573e-01 2.2205135183330050e+01
1.9798793580416666e+14 2.4036174268137650e-01 2.3861000371299763e+01
1.9861250342500000e+14 2.7629790526548592e-01 2.5528448071913463e+01
1.9923707104583331e+14 3.1193391440094320e-01 2.7207334428524668e+01
1.9986163866666666e+14 3.4714665147453083e-01 2.8897626632059726e+01
("port upper 1","mode 1",1,"port lower 1",1,"transmission")
(21, 3)
1.8737028624999997e+14 7.5465733313721415e-04 1.2921032672051405e+00
1.8799485387083331e+14 4.9729326914742418e-04 2.8349464568587321e+00
1.8861942149166662e+14 4.7705082698321151e-05 5.7837000875529370e+00
1.8924398911249997e+14 6.2266276547862293e-04 8.6141230920907361e+00
1.8986855673333331e+14 1.1868950523357005e-03 1.0062510874605252e+01
1.9049312435416662e+14 1.5596551095069333e-03 1.1504623053405535e+01
1.9111769197499997e+14 1.6343786995453096e-03 1.2958694030111770e+01
1.9174225959583331e+14 1.3646618581325584e-03 1.4445138027913144e+01
1.9236682721666666e+14 8.3670221836945103e-04 1.6024208833649070e+01
1.9299139483749997e+14 2.5499966592419643e-04 1.7999331019249816e+01
1.9361596245833331e+14 3.8509780001358759e-04 1.5700320050699975e+01
1.9424053007916666e+14 1.0028881688899261e-03 1.7554262477213101e+01
1.9486509769999997e+14 1.5859123091117948e-03 1.9149394539980214e+01
1.9548966532083331e+14 1.8218287221104643e-03 2.0648662547487547e+01
1.9611423294166666e+14 1.5222672087308185e-03 2.2140313060071620e+01
1.9673880056250000e+14 8.5963595376324067e-04 2.3743231070044789e+01
1.9736336818333331e+14 2.6030992933776594e-04 2.5859741972880240e+01
1.9798793580416666e+14 2.5469873287013348e-04 2.3550276718476717e+01
1.9861250342500000e+14 7.7690047382865976e-04 2.5723921845811002e+01
1.9923707104583331e+14 1.3448441320143409e-03 2.7362576706922670e+01
1.9986163866666666e+14 1.5380330139462674e-03 2.8871283561446514e+01
("port upper 2","mode 1",1,"port upper 1",1,"transmission")
(21, 3)
1.8737028624999997e+14 8.7555289730443742e-01 2.5607828316030936e+00
1.8799485387083331e+14 8.9009532131665936e-01 4.2840265138131421e+00
1.8861942149166662e+14 9.0350665619676096e-01 6.0233069738435727e+00
1.8924398911249997e+14 9.1614741883557549e-01 7.7783057786229461e+00
1.8986855673333331e+14 9.2739960738157035e-01 9.5493282196491300e+00
1.9049312435416662e+14 9.3743816194452290e-01 1.1335532705821869e+01
1.9111769197499997e+14 9.4643489763731892e-01 1.3137663116973510e+01
1.9174225959583331e+14 9.5384143010227418e-01 1.4955340893601367e+01
1.9236682721666666e+14 9.6003599494948666e-01 1.6788553060079327e+01
1.9299139483749997e+14 9.6469151706590273e-01 1.8637253143154027e+01
1.9361596245833331e+14 9.6798988672943331e-01 2.0501020770072060e+01
1.9424053007916666e+14 9.6998099204258448e-01 2.2379829099604500e+01
1.9486509769999997e+14 9.7047843302007730e-01 2.4273474179702927e+01
1.9548966532083331e+14 9.6942120826264400e-01 2.6181612258911642e+01
1.9611423294166666e+14 9.6683209576187457e-01 2.8104180472471473e+01
1.9673880056250000e+14 9.6253790750704904e-01 3.0041025655302114e+01
1.9736336818333331e+14 9.5658973494453592e-01 3.1992025705688174e+01
1.9798793580416666e+14 9.4888660189744700e-01 3.3957061221999901e+01
1.9861250342500000e+14 9.3953702668855765e-01 3.5935889939508876e+01
1.9923707104583331e+14 9.2859956572301239e-01 3.7928373121816058e+01
1.9986163866666666e+14 9.1617526040957953e-01 3.9934296046389960e+01
("port upper 2","mode 1",1,"port upper 2",1,"transmission")
(21, 3)
1.8737028624999997e+14 3.0560729903052457e-02 -3.0477281324900836e+00
1.8799485387083331e+14 1.7713446196821692e-02 -3.0726182953729815e+00
1.8861942149166662e+14 2.3228632130032373e-02 -3.3132197243917161e+00
